# === Stations Metadata ===
# north.cnv: Lat=42.491, Lon=3.188, X=-121.7, Y=877.7
# south.cnv: Lat=42.475, Lon=3.187, X=-203.8, Y=-891.5
# east.cnv: Lat=42.483, Lon=3.201, X=945.5, Y=-6.884
# west.cnv: Lat=42.483, Lon=3.177, X=-1025.0, Y=-6.884
# === Triangles Metadata ===
# triangle_T1_from: north_south_east
# triangle_T2_from: north_south_west
# triangle_T3_from: north_east_west
# triangle_T4_from: south_east_west
# =========================
depth_m,density (kg/m^3),salinity (PSU),temperature (degC),source_file,dp_dx_T1,dp_dx_T2,dp_dx_T3,dp_dx_T4,dp_dy_T1,dp_dy_T2,dp_dy_T3,dp_dy_T4,vx_T1_cm_s,vy_T1_cm_s,vx_T2_cm_s,vy_T2_cm_s,vx_T3_cm_s,vy_T3_cm_s,vx_T4_cm_s,vy_T4_cm_s
16.0,1026.9461,37.93,20.45,north.cnv,3.293e-05,-0.0001616,-5.217e-05,-5.217e-05,-5.963e-05,-5.061e-05,-0.0001623,5.095e-05,-11.185722191351982,4.242746154327425,-12.747476604082124,-29.425931483362984,6.585577452093085,-10.486783686113037,-30.32576810785523,-10.486783686113037
17.0,1026.9876,37.96,20.41,north.cnv,-3.884e-05,-0.0001926,-0.0001061,-0.0001061,-5.579e-05,-4.866e-05,-0.000137,3.162e-05,-11.727818202241245,4.620143699818354,-13.22029237554424,-27.554490513704053,5.254386315835173,-9.455839309784832,-30.018525306917454,-9.455839309784832
18.0,1027.0181,37.98,20.37,north.cnv,-0.0001023,-0.0002411,-0.000163,-0.000163,-6.065e-05,-5.421e-05,-0.0001339,1.828e-05,-12.317137489934982,5.614164526381742,-13.747035963110235,-25.211788448362576,3.9533170228064574,-7.872013359346589,-29.840903599101438,-7.872013359346589
19.0,1027.049,38.0,20.32,north.cnv,-0.0001113,-0.0002825,-0.0001862,-0.0001862,-6.645e-05,-5.85e-05,-0.0001568,3.089e-05,-12.962813774638182,6.6956358655460155,-14.315464295015985,-22.466814025057033,2.4297347588266014,-6.062759420870508,-29.540754006407955,-6.062759420870508
20.0,1027.0942,38.03,20.26,north.cnv,-0.000119,-0.0003179,-0.000206,-0.000206,-6.18e-05,-5.257e-05,-0.0001668,5.129e-05,-13.56330729449759,7.851925976602157,-14.826272455841373,-19.37786758552134,0.8089852586235402,-4.061114354672483,-29.042383251819135,-4.061114354672483
21.0,1027.1494,38.07,20.18,north.cnv,-0.0001275,-0.0002568,-0.0001841,-0.0001841,-4.569e-05,-3.969e-05,-0.0001139,2.778e-05,-14.007264396801414,9.090808238448021,-15.211929216411274,-16.882612959309434,-0.2977495619587671,-2.2722655358032764,-28.772452669591072,-2.2722655358032764
22.0,1027.2102,38.11,20.07,north.cnv,-0.0001327,-0.0001904,-0.0001579,-0.0001579,-2.561e-05,-2.293e-05,-5.603e-05,7.16e-06,-14.25610968876904,10.380217463129954,-15.434733689071084,-15.03254878161961,-0.8421775865173835,-0.737994875838865,-28.702880928455258,-0.737994875838865
23.0,1027.2888,38.15,19.92,north.cnv,-0.0001402,-0.0001508,-0.0001449,-0.0001449,1.985e-06,2.476e-06,-3.608e-06,8.007e-06,-14.236821992378736,11.74250211497929,-15.41067508138222,-13.567266859373678,-0.8772355253467161,0.6699583770353748,-28.625079122411336,0.6699583770353748
24.0,1027.3211,38.12,19.72,north.cnv,-0.0001206,-0.0001476,-0.0001324,-0.0001324,7.181e-06,8.43e-06,-7.032e-06,2.249e-05,-14.167046200046851,12.914338983831144,-15.328763101246057,-12.133078452719172,-0.9455635258588764,1.9564525846306111,-28.40655000814535,1.9564525846306111
25.0,1027.3433,38.07,19.51,north.cnv,-7.818e-05,-0.0001438,-0.0001069,-0.0001069,2.931e-07,3.338e-06,-3.434e-05,3.759e-05,-14.16419822835315,13.673992436624163,-15.296328677794751,-10.73581359582948,-1.2792358150493612,2.9951703398566707,-28.04129836718232,2.9951703398566707
